order,Questions / Comments of editors,Changes observed by editors,ID previous,ID new,Format version ID (when introduced),Field Name (de),Field Name (en),Element/Attribute Name,Technically Required,Occ.,Datatype,Original ILCD Format Definition (en),Definition (de),InData Definition (en),Further explanations (EN),InData compliance CP-2020,ECO Platform conformity,ÖKOBAUDAT conformity,Deviation to ILCD format definition (see FAQ),Extension of ILCD format,InData Compliance Construction Products CPEN2020,eDoc ID,Example of expected information in the field,EN15804+A2 mapping (chapter number),EN15804+A2 required information,ISO 22057 mapping (GUID),ISO 22057 required information,ISO 21930 mapping,ISO 21930 required information,Indent,Path
65.0,,,new,B.7.1.2.3,v1.2,Wertebereich: oberer Wert,Range: upper value,@epd2:upperValue,o,,Real,,Zur Angabe eines Wertebereich: oberer Wert des Wertebereichs,"For specifying a range of values: the upper value of the range. For specifying a value lower than x (e.g. ""<42""), only specify the upper value as x.",,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:upperValue
66.0,,,new,B.7.1.3,v1.2,Masse in kg,Mass in kg,epd2:mass,o,"[0,1]",,,Absolute Masse dieses Anteils in kg. Ein diskreter Wert oder ein Wertebereich muß angegeben werden.,Absolute mass of the fraction in kg. Either a discrete value or a range of values has to be specified.,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/epd2:mass
67.0,,,new,B.7.1.3.1,v1.2,Diskreter Wert,Discrete value,@epd2:value,o,,Real,,Zur Angabe eines diskreten Zahlenwerts: der Wert,For specifying a discrete value: the value,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:value
68.0,,,new,B.7.1.3.2,v1.2,Wertebereich: unterer Wert,Range: lower value,@epd2:lowerValue,o,,Real,,Zur Angabe eines Wertebereich: unterer Wert des Wertebereichs,For specifying a range of values: the lower value of the range,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:lowerValue
69.0,,,new,B.7.1.3.3,v1.2,Wertebereich: oberer Wert,Range: upper value,@epd2:upperValue,o,,Real,,Zur Angabe eines Wertebereich: oberer Wert des Wertebereichs,"For specifying a range of values: the upper value of the range. For specifying a value lower than x (e.g. ""<42""), only specify the upper value as x.",,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:upperValue
70.0,Definition added.,,new,B.7.1.4,v1.2,Bemerkungen,Comment,epd2:comment,o,"[0,n]",FTMultiLang,,,Comments on content declaration,,o,,,,,,,,,,1WhfJiAl51kfx6zvSBVYib,,,,2,processInformation/epd2:contentDeclaration/epd2:comment
71.0,,,new,B.7.2,v1.2,Material \| Substanz,Material \| Substance,epd2:material \| epd2:substance,o,"[0,n]",,,Beschreibt ein Material oder eine Substanz. substance-Elemente können in material-Elementen geschachtelt sein.,Describes a material or substance. Substance elements can be nested inside material elements.,,m,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/epd2:material_\|_epd2:substance
72.0,,,new,B.7.2.1,v1.2,Name,Name,epd2:name,m,"[1,1]",StringMultiLang,,Name des Materials/der Substanz.,Name of the material or substance.,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/epd2:name
73.0,,,new,B.7.2.2,v1.2,Massenanteil in %,Mass percentage,epd2:weightPerc,m,"[1,1]",,,Massenanteil in % des Gesamtprodukts. Ein diskreter Wert oder ein Wertebereich muß angegeben werden.,Percentage of the total mass of the product. Either a discrete value or a range of values has to be specified.,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/epd2:weightPerc
74.0,,,new,B.7.2.2.1,v1.2,Diskreter Wert,Discrete value,@epd2:value,o,,Real,,Zur Angabe eines diskreten Zahlenwerts: der Wert,For specifying a discrete value: the value,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:value
75.0,,,new,B.7.2.2.2,v1.2,Wertebereich: unterer Wert,Range: lower value,@epd2:lowerValue,o,,Real,,Zur Angabe eines Wertebereich: unterer Wert des Wertebereichs,For specifying a range of values: the lower value of the range,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:lowerValue
76.0,,,new,B.7.2.2.3,v1.2,Wertebereich: oberer Wert,Range: upper value,@epd2:upperValue,o,,Real,,Zur Angabe eines Wertebereich: oberer Wert des Wertebereichs,"For specifying a range of values: the upper value of the range. For specifying a value lower than x (e.g. ""<42""), only specify the upper value as x.",,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:upperValue
77.0,,,new,B.7.2.3,v1.2,Masse in kg,Mass in kg,epd2:mass,o,"[0,1]",,,Absolute Masse dieses Anteils in kg. Ein diskreter Wert oder ein Wertebereich muß angegeben werden.,Absolute mass of the fraction in kg. Either a discrete value or a range of values has to be specified.,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/epd2:mass
78.0,,,new,B.7.2.3.1,v1.2,Diskreter Wert,Discrete value,@epd2:value,o,,Real,,Zur Angabe eines diskreten Zahlenwerts: der Wert,For specifying a discrete value: the value,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:value
79.0,,,new,B.7.2.3.2,v1.2,Wertebereich: unterer Wert,Range: lower value,@epd2:lowerValue,o,,Real,,Zur Angabe eines Wertebereich: unterer Wert des Wertebereichs,For specifying a range of values: the lower value of the range,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:lowerValue
80.0,,,new,B.7.2.3.3,v1.2,Wertebereich: oberer Wert,Range: upper value,@epd2:upperValue,o,,Real,,Zur Angabe eines Wertebereich: oberer Wert des Wertebereichs,"For specifying a range of values: the upper value of the range. For specifying a value lower than x (e.g. ""<42""), only specify the upper value as x.",,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:upperValue
81.0,,,new,B.7.2.4,v1.2,CAS-Nummer,CAS number,@epd2:CASNumber,o,,CAS Number,,CAS-Nummer des Materials oder der Substanz,CAS Number of the material or substance,,m,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:CASNumber
82.0,,,new,B.7.2.5,v1.2,EC-Nummer,EC number,@epd2:ECNumber,o,,String with pattern 000-000-0,,EC-Nummer des Materials oder der Substanz,EC Number of the material or substance,,m,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:ECNumber
83.0,,,new,B.7.2.6,v1.2,Gefahrencode,Hazard code,@epd2:hazardCode,o,,String,,"Gefahrencode(s) des Materials oder der Substanz. Mehrere Codes können durch Semikolon getrennt angegeben werden. Sofern die Substanz als SVHC klassifiziert ist, ist der Liste SVHC; voranzustellen.","Hazard code(s) of the material or substance. A list of codes can be given separated by semicolons. If the substance is classified as SVHC, prepend a SVHC; to the code or list of codes.",,m,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:hazardCode
84.0,,,new,B.7.2.7,v1.2,Anteil erneuerbarer Ressourcen,Percentage of renewable resources,@epd2:renewable,o,,Percentage,,Der enthaltene Anteil erneuerbarer Ressourcen,The percentage of renewable resources contained,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:renewable
85.0,,,new,B.7.2.8,v1.2,Anteil recycelter Materialien,Percentage of recycled materials,@epd2:recycled,o,,Percentage,,Der enthaltene Anteil recycelter Materialien,The percentage of recycled materials contained,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:recycled
86.0,,,new,B.7.2.9,v1.2,Anteil recycelbarer Materialien,Percentage of potentially recyclable materials,@epd2:recyclable,o,,Percentage,,Der enthaltene Anteil recycelbarer Materialien,The percentage of recyclable materials contained,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:recyclable
87.0,,,new,B.7.2.10,v1.2,Verpackung,Packaging,@epd2:packaging,o,,boolean,,Diese(s) Material oder Substanz Ist Bestandteil der Produktverpackung,This material or substance is part of the packaging,,m,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/@epd2:packaging
88.0,Definition added.,,new,B.7.2.11,v1.2,Bemerkungen,Comment,epd2:comment,o,"[0,n]",FTMultiLang,,,Comments on content declarationof material/substance,,o,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/epd2:comment
89.0,,,new,B.7.3,v1.3,Enthält SVHC,Contains SVHC,epd24:SVHC,m,"[1,1]",boolean,,"Hinweis, falls das Produkt SVHC (substances of very high concern) enthält.",Indication whether there are substances of high concern (SVHC) contained in the product.,,m,,,,,,,,,,,,,,2,processInformation/epd2:contentDeclaration/epd24:SVHC
90.0,,,new,B.8,v1.3,Quantitative Angaben zu Szenarien,Quantitative scenario data,epd24:scenarioData,o,"[0,n]",,,Quantitative Angaben zu oben deklarierten Szenarien,Quantitative information regarding scenarios declared above,,m,,,,,,,,,,,,,,1,processInformation/epd24:scenarioData
91.0,,,new,B.8.1,v1.3,Angaben zu Use-Stage-Szenarien,Use stage scenario data,epd24:useStageScenarioData,o,"[0,n]",,,Angaben zu Use-Stage-Szenarien,Use stage scenario data,,o,,,,,,,,,,,,,,2,processInformation/epd24:scenarioData/epd24:useStageScenarioData
92.0,,,new,B.8.1.1,v1.3,Szenario-Name,scenario name,@epd24:scenario,o,"[0,1]",string,,"Name des Szenarios (siehe Deklaration oben unter scenario/@name). Wenn nur ein Szenario verwendet wird, kann die Deklaration entfallen.","Name of the scenario (must match one declared above under scenario/@name). If only one scenario is used, this can be omitted.",,o,,,,,,,,,,,,,,2,processInformation/epd24:scenarioData/@epd24:scenario
93.0,Additional information according to EN 15804 (not a scenario) +,,new,B.8.1.2,v1.3,Wirkungen auf Boden und Wasser,Impacts on soil and water,epd24:soilAndWaterImpacts,o,"[0,1]",,,Daten zu den Wirkungen auf Wasser und Boden während der Nutzungsphase.,Data describing the impacts to soil and water during the use stage,,m,,,,,,,,7.4.2,Soil and water,,,,,1,processInformation/epd24:soilAndWaterImpacts
94.0,We assume that there is a template for the quantitative data input?,,new,B.8.1.2.1,v1.3,Beschreibung der Wirkungen auf Boden und Wasser,Description of impacts on soil and water,epd24:soilAndWaterImpactsDescription,o,"[0,1]",FTMultiLang,,Beschreibung der Wirkungen auf Boden und Wasser währende der Nutzungsphase,Description of impacts on soil and water during the use stage,,m,,,,,,,,,,,,,,2,processInformation/epd24:soilAndWaterImpacts/epd24:soilAndWaterImpactsDescription
95.0,,,new,B.8.2,v1.3,Angaben zu EoL-Szenarien,EoL scenario data,epd24:eolScenarioData,o,"[0,n]",,,Angaben zu End-of-life-Szenarien,End of Life scenario data,,m,"EN 15804+A2: section 7.3.4 End-of-life (T8) +
 +
Geographical area, i.e. market range, where the product end-of-life is assumed","EN 15804+A2: section 7.3.4 End-of-life (T8) +
 +
Geographical area, i.e. market range, where the product end-of-life is assumed",,,,,,T8,EoL output flows,,,,,1,processInformation/epd24:eolScenarioData
96.0,,,new,B.8.2.1,v1.3,Szenario-Name,scenario name,@epd24:scenario,o,"[0,1]",string,,"Name des Szenarios (siehe Deklaration oben unter scenario/@name). Wenn nur ein Szenario verwendet wird, kann die Deklaration entfallen.","Name of the scenario (must match one declared above under scenario/@name). If only one scenario is used, this can be omitted.",,o,,,,,,,,,,,,,,2,processInformation/epd24:eolScenarioData/@epd24:scenario
97.0,,,new,B.8.2.2,v1.3,Sammlung,Collection,epd24:collection,o,"[0,1]",,,Die Anteile der einzelnen gesammelten Fraktionen,The amounts of the different fractions that are collected,,o,,,,,,,,,,,,,,2,processInformation/epd24:eolScenarioData/epd24:collection
98.0,,,new,B.8.2.2.1,v1.3,getrennt,separate,@epd24:separate,o,"[0,1]",xs:double,,"Getrennt gesammelter Anteil, in kg","separately collected part, in kg",,o,,,,,,,,,,,,,,2,processInformation/epd24:eolScenarioData/@epd24:separate
99.0,,,new,B.8.2.2.2,v1.3,als gemischter Abfall,with mixed waste,@epd24:withMixedWaste,o,"[0,1]",xs:double,,"als gemischter Abfall gesammelter Anteil, in kg","collected with mixed waste, in kg",,o,,,,,,,,,,,,,,2,processInformation/epd24:eolScenarioData/@epd24:withMixedWaste
100.0,,,new,B.8.2.3,v1.3,Rückholung,Recovery,epd24:recovery,o,"[0,1]",,,Die Anteile der einzelnen rückgewonnenen Fraktionen,The amounts of the different fractions that are recovered,,o,,,,,,,,,,,,,,2,processInformation/epd24:eolScenarioData/epd24:recovery
101.0,,,new,B.8.2.3.1,v1.3,zur Wiederverwendung,for re-use,@epd24:reuse,o,"[0,1]",xs:double,,kg zur Wiederverwendung,kg for re-use,,o,,,,,,,,,,,,,,2,processInformation/epd24:eolScenarioData/@epd24:reuse
102.0,,,new,B.8.2.3.2,v1.3,zum Recycling,for recycling,@epd24:recycling,o,"[0,1]",xs:double,,kg zum Recycling,kg for recycling,,o,,,,,,,,,,,,,,2,processInformation/epd24:eolScenarioData/@epd24:recycling
103.0,,,new,B.8.2.3.3,v1.3,zur Energierückgewinnung,for energy recovery,@epd24:energyRecovery,o,"[0,1]",xs:double,,kg zur Energierückgewinnung,kg for energy recovery,,o,,,,,,,,,,,,,,2,processInformation/epd24:eolScenarioData/@epd24:energyRecovery
104.0,,,new,B.8.2.4,v1.3,Beseitigung,Disposal,epd24:disposal,o,"[0,1]",,,Der Anteil zur Beseitigung,The fraction for disposal,,o,,,,,,,,,,,,,,2,processInformation/epd24:eolScenarioData/epd24:disposal
105.0,,,new,B.8.2.4.1,v1.3,zur Deponierung,for final deposition,@epd24:finalDeposition,o,"[0,1]",xs:double,,kg Produkt oder Stoff zur Deponierung,kg product or material for final deposition,,o,,,,,,,,,,,,,,2,processInformation/epd24:eolScenarioData/@epd24:finalDeposition
106.0,,,A4,B.9,v1.0,Quantitative Referenz,Quantitative reference,quantitativeReference,r,"[0,1]",,"This section names the quantitative reference used for this data set, i.e. the reference to which the inputs and outputs quantiatively relate.",In diesem Abschnitt wird die quantitative Referenz für diesen Datensatz angegeben,,,,,,,,,2004-01-01 00:00:00,,,,,,,,1,processInformation/quantitativeReference
107.0,Please check: The table passed contained definitions in column 'data types'. We deleted those.,,new,B.9.1,v1.0,Art der quantitativen Referenz,Type of quantitative reference,@type,r,,"TypeOfQuantitativeReferenceValues +
Reference flow(s) +
Functional unit +
Other parameter +
Production period",Type of quantitative reference of this data set.,"Art der quantitativen Referenz, in der Regel ist dies ""Reference flow(s)""","usually this is ""Reference flow(s)""",,m,,,,,,1-1-4-15,,,,,,,,2,processInformation/quantitativeReference/@type
108.0,,,A4.1,B.9.2,v1.0,Referenzfluß,Reference flow(s),referenceToReferenceFlow,r,"[0,n]",Int6,"One or more of the Inputs or Outputs in case ""Type of quantitative reference"" is of type ""Reference flow(s)"". (Data set internal reference.)","Verweis auf den Referenzfluß des Datensatzes (interne ID des entsprechenden Outputs im Abschnitt ""Exchanges"")",~,"Link to reference flow of data set; the reference flow is the output that represents the product. Therefore for each EPD (process) data set, at least one reference flow data set has to be given that represents the product. The amount of the exchange with the reference product, together with the reference flow property of the reference product, indicates the declared unit (or functional unit) as stated in the EPD.",m,,,minor,,,1-1-4-16,Cement (CEM II 32.5) - 1.0 kg (mass),7.1 b,declared or functional unit to which the data refers,,,,,2,processInformation/quantitativeReference/referenceToReferenceFlow
109.0,,,A4.2,B.9.3,v1.0,Funktionelle Einheit,"Functional unit, Production period, or Other parameter",functionalUnitOrOther,r,"[0,n]",StringMultiLang,"Quantity, name, property/quality, and measurement unit of the Functional unit, Production period, or Other parameter, in case ""Type of quantitative reference"" is of one of these types. [Note: One or more functional units can also be given in addition to a reference flow.]","Menge, Name, Eigenschaft und Meßgröße der funktionellen Einheit.","For EPDs that are based on a functional unit, its description goes here. In this case, nevertheless a reference flow has to be specified which declares the physical material properties of the product.",,o,,,,,,1-1-4-17,,7.1 b,Description of the declared or functional unit to which the data refers,,,,,2,processInformation/quantitativeReference/functionalUnitOrOther
110.0,,,new,B.9.4,v1.0,Anderer Inhalt,Other content,other,o,"[0,1]",,May contain arbitrary content.,,~,,o,,,,,,0,,,,,,,,2,processInformation/quantitativeReference/other
111.0,,,A5,B.10,v1.0,Zeitliche Repräsentativität,Time representativeness,time,r,"[0,1]",,Provides information about the time representativeness of the data set.,Informationen zur zeitlichen Repräsentativität des Datensatzes,,,,,,,,,2006-01-01 00:00:00,,,,,,,,1,processInformation/time
112.0,,,A5.1,B.10.1,v1.0,Referenzjahr,Reference year,referenceYear,r,"[0,1]",Year,"Start year of the time period for which the data set is valid (until year of ""Data set valid until:""). For data sets that combine data from different years, the most representative year is given regarding the overall environmental impact. In that case, the reference year is derived by expert judgement.",Das erste Jahr der Gültigkeits des Datensatzes.,"Start year of the time period for which the data set is valid (until year of ""Data set valid until"")",,m,,,,,,1-1-6-18,2015,,,3HRWYEBbbDzhUdMvoAK5Sx,,,,2,processInformation/time/referenceYear
113.0,,,A5.2,B.10.2,v1.0,Gültig bis,Data set valid until:,dataSetValidUntil,r,"[0,1]",Year,"End year of the time period for which the data set is still valid / sufficiently representative. This date also determines when a data set revision / remodelling is required or recommended due to expected relevant changes in environmentally or technically relevant inventory values, including in the background system.","Ende des Zeitabschnitts, bis zu dem der Datensatz gültig ist.",~,,m,date of expiry,date of expiry,,,,1-1-6-19,2018,,,0pb8bLdMf3SB$4iV$cRvsI,,,,2,processInformation/time/dataSetValidUntil
114.0,,,A5.3,B.10.3,v1.0,Erläuterungen zur zeitlichen Repräsentativität,Time representativeness description,timeRepresentativenessDescription,r,"[0,1]",FTMultiLang,Description of the valid time span of the data set including information on limited usability within sub-time spans (e.g. summer/winter).,Beschreibung der gültigen Betrachtungszeit für den Datensatz einschließlich Information über allfällige zeitliche Begrenzungen (z.B. Sommer/Winter),Description of the valid time span of the data set including information on limited usability within sub-time spans (e.g. summer/winter).,,o,,,,,,1-1-6-20,annual average,,,,,,,2,processInformation/time/timeRepresentativenessDescription
115.0,,,new,B.10.4,v1.0,Anderer Inhalt,Other content,other,o,"[0,1]",,May contain arbitrary content.,,~,,o,,,,,,0,,,,,,,,2,processInformation/time/other
116.0,,,C3.5,B.10.5,v1.2,Veröffentlichungsdatum der EPD,Publication date of EPD,epd2:publicationDateOfEPD,o,"[0,1]",xs:date,,"Datum der Veröffentlichung der EPD in der Form ""YYYY-MM-DD"".","Exact date of publication of the EPD in the form ""YYYY-MM-DD"".",,m,EN 15804+A2: chapter 7.1 f,EN 15804+A2: chapter 7.1 f,,x,not applicable for generic data,,,7.1 f,Date of publication and start of the 5-year validity period,,,,,3,processInformation/time/other/epd2:publicationDateOfEPD
117.0,,,new,B.10.6,v1.3,Ablaufdatum der EPD,Expiration date of EPD,epd2:expirationDateOfEPD,o,"[0,1]",xs:date,,"Das Datum (""YYYY-MM-DD"") an dem die Gültigkeit der EPD abläuft.","The date (""YYYY-MM-DD"") at which the EPD validity expires.",,m,,,,,,,,,,,,,,2,processInformation/time/epd2:expirationDateOfEPD
118.0,,,A6,B.11,v1.0,Geographische Repräsentativität,Geographical representativeness,geography,r,"[0,1]",,Provides information about the geographical representativeness of the data set.,Informationen zur geographischen Repräsentativität des Datensatzes,~,,,,,,,,2008-01-01 00:00:00,,,,,,,,1,processInformation/geography
119.0,,,new,B.11.1,v1.0,Ort,Location,locationOfOperationSupplyOrProduction,r,"[0,1]",,"Location, country or region the data set represents. [Note 1: This field does not refer to e.g. the country in which a specific site is located that is represented by this data set but to the actually represented country, region, or site. Note 2: Entry can be of type ""two-letter ISO 3166 country code"" for countries, ""seven-letter regional codes"" for regions or continents, or ""market areas and market organisations"", as predefined for the ILCD. Also a name for e.g. a specific plant etc. can be given here (e.g. ""FR, Lyon, XY Company, Z Site""; user defined). Note 3: The fact whether the entry refers to production or to consumption / supply has to be stated in the name-field ""Mix and location types"" e.g. as ""Production mix"".]",,~,,m,,,,,,1-1-8-21,,,,,,,,2,processInformation/geography/locationOfOperationSupplyOrProduction
120.0,,,A6.1,B.11.1.1,v1.0,Ort,Location,@location,r,,NullableString,"Location, country or region the data set represents. [Note 1: This field does not refer to e.g. the country in which a specific site is located that is represented by this data set but to the actually represented country, region, or site. Note 2: Entry can be of type ""two-letter ISO 3166 country code"" for countries, ""seven-letter regional codes"" for regions or continents, or ""market areas and market organisations"", as predefined for the ILCD. Also a name for e.g. a specific plant etc. can be given here (e.g. ""FR, Lyon, XY Company, Z Site""; user defined). Note 3: The fact whether the entry refers to production or to consumption / supply has to be stated in the name-field ""Mix and location types"" e.g. as ""Production mix"".]","Region, für die der Datensatz repräsentativ ist ISO 3166-Ländercode oder Regionalcode","Region, for which the data set is representative / relevant. ISO 3166 country code or regional code",,m,"Geographical area, i.e. market range, where it may be applied","Geographical area, i.e. market range, where it may be applied",minor,,,1-1-8-21,DE,,,2hrADMu992yvf9m9RB5ukI,,,,2,processInformation/geography/@location
121.0,,,A6.2,B.11.2,v1.0,Erläuterungen zur geographischen Repräsentativität,Geographical representativeness description,descriptionOfRestrictions,o,"[0,1]",FTMultiLang,"Further explanations about additional aspects of the location: e.g. a company and/or site description and address, whether for certain sub-areas within the ""Location"" the data set is not valid, whether data is only valid for certain regions within the location indicated, or whether certain elementary flows or intermediate product flows are extrapolated from another geographical area.","Erläuterungen zum Feld ""Ort"" sofern relevant",Explanations about additional aspects of the location if relevant,,o,,,minor,,,1-1-8-24,"Imports statistics for Germany +
were considered for modelling .",,,1$A6fmHiDFvx_yaQsLwfZ3,,,,2,processInformation/geography/descriptionOfRestrictions
122.0,,,new,B.11.3,v1.0,Anderer Inhalt,Other content,other,o,"[0,1]",,May contain arbitrary content.,,~,,o,,,,,,0,,,,,,,,2,processInformation/geography/other
123.0,,,A7,B.12,v1.0,Technische Repräsentativität,Technological representativeness,technology,r,"[0,1]",,Provides information about the technological representativeness of the data set.,Informationen zur technischen Repräsentativität des Datensatzes,~,,,,,,,,2010-01-01 00:00:00,,,,,,,,1,processInformation/technology
124.0,Red text: Changes in definition by editors (as in old table).,,A7.1,B.12.1,v1.0,Technische Beschreibung inklusive der Hintergrundsysteme,Technology description including background system,technologyDescriptionAndIncludedProcesses,r,"[0,1]",FTMultiLang,Description of the technological characteristics including operating conditions of the process or product system. For the latter this includes the relevant upstream and downstream processes included in the data set. Professional terminology should be used.,"Beschreibung der wesentlichen technischen Eigenschaften des Produkts bzw. Prozesses (inkl. Nutzungsbedingungen). Falls wesentlich für techn. Repräsentativität, sind auch die relevanten vor- und nachgelagerten Prozesse (""Hintergrundsysteme""), die im Datensatz enthalten sind, zu beschreiben. Hinweis auf ausführliche Beschreibung im EPD-Dokument, falls vorhanden, kann angeführt werden. Alternativ kann auch ein Verweis auf ""Anwendungshinweis für Datensatz"" und ""Technisches Anwendungsgebiet des Produkts oder Prozesses"" gemacht werden. Bitte keine allgemeinen Ausführungen zu den Systemgrenzen gemäß EN 15804.","Description of the technological characteristics including operating conditions of the product system or process. If relevant for the technological representativeness this comprises the relevant upstream and downstream processes (""background system"") included in the data set.  Link to detailed description in EPD-document or to flow diagramm can be given, if available. Alternatively a link to 'Use advice for data set' or 'technical purpose of product or process' can be given. Note 1: The feasible application of the product in the building or of the material  in a process or product respectively is described in the field ‘technical purpose of product or process’ (8); a reference to the corresponding section of the EPD can be given. Note 2: No general descriptions of the system boundaries according to EN 15804.",Find further explanations and examples in FAQ.,m,"Description of the system boundary (can be simplified, +
as a picture or in wording), including the assignment of +
the analysed processes to the life cycle modules","Description of the system boundary (can be simplified, +
as a picture or in wording), including the assignment of +
the analysed processes to the life cycle modules",minor,,"Give concentrated infomation about main technological aspects, to make the user understand the background of the LCA information in the data set. E.g. +
• 1-2 sentences to describe the product if +
reasonable; +
• declaration of the main product +
components and/or materials; +
• short description of the manufacturing process with focus on product specific information which are relevant to understand the data set rather than general literature on the product group; +
• information on pre-products or raw +
materials if reasonable; +
• description of the construction process stage, use stage and end-of life stage if reasonable.",1-1-10-25,The products considered are Portland slag cement according to DIN EN 197-1. The product consists of Portland cement clinker and blastfurnace slag as well as sulfate carriers. The blastfurnace content is between 21 and 35 M .-%.,,,1TCAtFQ$r2LAk3oxaknGa3,,,,2,processInformation/technology/technologyDescriptionAndIncludedProcesses
125.0,Proposed text in 'InData Definition' was replaced by proposed text in 'Further explanation'.,,A7.2,B.12.2,v1.0,Technisches Anwendungsgebiet,Technical purpose of product or process,technologicalApplicability,r,"[0,1]",FTMultiLang,"Description of the intended / possible applications of the good, service, or process. E.g. for which type of products the material, represented by this data set, is used. Examples: ""This high purity chemical is used for analytical laboratories only."" or ""This technical quality bulk chemical is used for large scale synthesis in chemical industry."". Or: ""This truck is used only for long-distance transport of liquid bulk chemicals"".","Kurze Beschreibung der beabsichtigten bzw. möglichen Anwendung des Produkts, der Dienstleistung oder des Prozesses. Beispiele ""Die hochreine Chemikalie wird ausschließlich von analytischen Laboratorien genutzt."" Oder: ""Diese Chemikalie in technischer Massenqualität wird für großmaßstäbliche Synthesen in der chemischen Industrie genutzt"". Oder: ""Dieser LKW wird nur für Langstreckentransporte von flüssigen Massenchemikalien genutzt.""","Brief description of the intended use / possible applications of the good, service, or process, e.g. for which type of products the material, represented by this data set, is used. For construction products the feasible applications in the building shall be given. +
Note: This corresponds to EN 15804, section 7.1 b) ‘description of the construction product’s use […]’. +
Find further explanations and examples in FAQ.",,m,EN 15804+A2: chapter 7.1 b,EN 15804+A2: chapter 7.1 b,semantic,,,1-1-10-27,"CEM II/B-S 32,5 R can be used for all exposure classes according to DIN EN 206-1/DIN 1045-2.",7.1 b,Description of the application of the construction product,3LtH3zTkTAtvN_Dc64HOcJ,,,,2,processInformation/technology/technologicalApplicability
126.0,Red text: Changes in definition by editors (as in old table). Recommendation: Why not stick to original ILCD defintion,,A7.3,B.12.3,v1.0,Piktogramm,Pictogramme of technology,referenceToTechnologyPictogramme,o,"[0,1]",GlobalReferenceType,"""Source data set"" of the pictogramme of the good, service, technogy, plant etc. represented by this data set. For use in graphical user interfaces of LCA software.","""Source""-Datensatz mit Piktogramm des Produkts, der Dienstleistung, des Prozesses etc.","""Source data set"" of the pictogramme of the good, service, technogy, plant etc. represented by this data set.",,o,,,,,,1-1-10-28,"Construction_Composition of  +
cement.jpg",,,,,,,2,processInformation/technology/referenceToTechnologyPictogramme
127.0,,,A7.4,B.12.4,v1.0,Flußdiagramm(e) oder Abbildung(en),Flow diagramm(s) or picture(s),referenceToTechnologyFlowDiagrammOrPicture,o,"[0,n]",GlobalReferenceType,"""Source data set"" of the flow diagramm(s) and/or photo(s) of the good, service, technology, plant etc represented by this data set. For clearer illustration and documentation of data set.","""Source""-Datensätze des/der Flußdiagramm(e) bzw. Abbildung(en) für eine anschauliche Erläuterung und Dokumentations des Datensatzes",~,,m,"EN 15804+A2: chapter 7.1 c +
 +
EPD contains a (simple) flow diagram in accordance with +
the modular approach","EN 15804+A2: chapter 7.1 c +
 +
EPD contains a (simple) flow diagram in accordance with +
the modular approach",,,,1-1-10-29,"24222….zementherstellung_en +
gl.jpg",7.1 c,Simple visual representation of the product,,,,,2,processInformation/technology/referenceToTechnologyFlowDiagrammOrPicture
128.0,,,new,B.12.5,v1.0,Anderer Inhalt,Other content,other,o,"[0,1]",,May contain arbitrary content.,,~,,o,,,,,,0,,,,,,,,2,processInformation/technology/other
129.0,,,B,C,v1.0,Modellierung und Validierung,Modelling and validation,modellingAndValidation,r,"[0,1]",,"Covers the five sub-sections 1) LCI method and allocation, 2) Data sources, treatment and representativeness, 3) Completeness, 4) Validation, and 5) Compliance. (Section refers to LCI modelling and data treatment aspects etc., NOT the modeling of e.g. the input/output-relationships of a parameterised data set.)",Modellierung und Validierung,~,,,,,,,,2025-03-01 00:00:00,,,,,,,,0,modellingAndValidation
130.0,,,new,C.1,v1.0,LCI-Methode und Allokation,LCI method and allocation,LCIMethodAndAllocation,r,"[0,1]",,LCI methodological modelling aspects including allocation / substitution information.,LCI-Methode und Allokation,~,,,,,,,,2014-03-01 00:00:00,,,,,,,,1,modellingAndValidation/LCIMethodAndAllocation
